emotion	382	1991
verification	383	1985
aware	384	1978
data	385	1964
lvcsr	386	1954
西	387	1943
牛	388	1933
feature	389	1929
就	390	1927
日	391	1910
phone	392	1909
hmm	393	1901
仔	394	1881
ctc	395	1878
量	396	1871
节	397	1844
传	398	1806
input	399	1775
plate	400	1775
high	401	1771
quality	402	1771
flexible	403	1771
phonology	404	1771
phonetics	405	1771
台	406	1770
mobile	407	1769
checkin	408	1769
程	409	1766
始	410	1748
特	411	1741
俞	412	1729
牌	413	1724
师	414	1713
先	415	1689
dealing	416	1684
discontinuity	417	1684
fundamental	418	1684
frequency	419	1684
购	420	1671
杯	421	1670
app	422	1670
课	423	1665
荣	424	1662
誉	425	1662
励	426	1652
早	427	1647
词	428	1635
子	429	1631
助	430	1585
workshop	431	1525
sjtu	432	1523
isca	433	1521
convolutional	434	1519
li	435	1516
cluster	436	1506
factor	437	1504
polynomial	438	1501
伟	439	1496
challenge	440	1495
word	441	1493
line	442	1485
policy	443	1485
fast	444	1484
现	445	1471
management	446	1467
dnn	447	1463
ieee	448	1453
decoding	449	1453
voice	450	1451
noise	451	1439
授	452	1436
low	453	1436
愿	454	1420
synchronous	455	1420
稍	456	1419
gmm	457	1417
照	458	1399
颖	459	1372
看	460	1371
金	461	1355
牙	462	1350
乡	463	1335
院	464	1328
口	465	1323
通	466	1305
宏	467	1302
想	468	1291
btas	469	1291
氛	470	1284
围	471	1284
吴	472	1276
远	473	1248
icmi	474	1236
wu	475	1235
标	476	1223
download	477	1218
梦	478	1216
际	479	1147
女	480	1143
英	481	1135
广	482	1126
编	483	1115
如	484	1107
男	485	1107
微	486	1101
难	487	1083
江	488	1081
阅	489	1067
去	490	1063
东	491	1058
前	492	1049
海	493	1030
刘	494	1020
semantic	495	1009
李	496	1008
very	497	1007
rnn	498	1006
structured	499	1003
end	500	1002
efficient	501	1001
duration	502	1000
future	503	998
狂	504	994
商	505	992
liu	506	989
xu	507	989
佬	508	987
钱	509	974
颁	510	973
confidence	511	971
社	512	971
languages	513	970
enhancement	514	964
into	515	958
vad	516	952
华	517	949
auxiliary	518	947
resource	519	944
to	520	942
咖	521	932
讨	522	932
姐	523	929
兰	524	923
hybrid	525	904
情	526	880
况	527	880
还	528	877
达	529	868
阳	530	857
州	531	843
企	532	843
钻	533	841
translator	534	841
apsipa	535	820
司	536	813
组	537	811
织	538	811
slt	539	807
icml	540	796
coling	541	796
icsp	542	796
德	543	795
naacl	544	795
路	545	793
ncmmsc	546	792
ccl	547	791
整	548	786
信	549	783
祖	550	778
eacl	551	777
yang	552	771
拥	553	765
点	554	764
安	555	764
杨	556	764
iscslp	557	760
cnccl	558	759
acl	559	759
iscide	560	757
瑞	561	757
chinasip	562	750
id	563	750
景	564	747
ijcnn	565	746
asru	566	745
sigdial	567	745
discourse	568	745
acm	569	744
transactions	570	744
audio	571	744
processing	572	744
emnlp	573	742
aaai	574	742
ssw	575	741
nips	576	739
哲	577	738
联	578	738
豪	579	731
王	580	731
bi	581	731
interspeech	582	730
苏	583	728
晨	584	728
hu	585	727
iui	586	726
林	587	724
ijcai	588	723
鹿	589	722
ambition	590	719
憧	591	716
憬	592	716
chi	593	713
造	594	711
野	595	710
心	596	710
icassp	597	710
澳	598	708
望	599	706
亚	600	699
斯	601	691
座	602	689
观	603	685
ecai	604	685
葡	605	682
萄	606	682
美	607	677
坡	608	676
班	609	668
硕	610	662
北	611	662
官	612	648
俄	613	648
罗	614	648
水	615	646
荷	616	645
承	617	642
卑	618	620
渺	619	620
该	620	614
属	621	605
山	622	604
色	623	597
往	624	576
尽	625	567
称	626	564
案	627	553
京	628	547
张	629	547
问	630	543
困	631	541
今	632	540
dialog	633	540
黄	634	539
赵	635	538
paragraph	636	538
topic	637	538
support	638	532
machine	639	532
embeddings	640	531
veri	641	527
ﬁ	642	527
cation	643	527
zhang	644	526
容	645	525
栋	646	521
cao	647	520
常	648	519
cognitive	649	519
technology	650	519
oriented	651	519
systems	652	519
–	653	519
concepts	654	519
,	655	519
advances	656	519
徐	657	518
chang	658	518
parser	659	517
domain	660	517
extension	661	517
little	662	517
comparison	663	517
target	664	517
adjustment	665	516
rate	666	516
is	667	516
applied	668	516
redundancy	669	515
reduction	670	515
back	671	515
propagation	672	515
overview	673	515
anti	674	515
competition	675	515
new	676	514
evaluation	677	514
metric	678	514
character	679	514
帅	680	512
small	681	512
footprint	682	512
wang	683	511
志	684	510
huang	685	508
kai	686	508
implementation	687	508
performance	688	508
analysis	689	508
deng	690	507
lu	691	507
guo	692	507
yu	693	506
昊	694	504
邓	695	504
剑	696	503
agent	697	503
dropout	698	503
dqn	699	503
safe	700	503
rnns	701	503
raw	702	501
waveform	703	501
cldnns	704	501
reshaping	705	501
by	706	501
node	707	501
pruning	708	501
generalized	709	500
rule	710	500
tracker	711	500
孙	712	499
unified	713	499
measure	714	499
framework	715	499
normalization	716	499
graph	717	499
rich	718	499
punctuations	719	499
prediction	720	499
large	721	499
scale	722	499
tandem	723	499
sun	724	498
constrained	725	498
markov	726	498
bayesian	727	498
development	728	498
hvr	729	498
integrated	730	498
field	731	498
affordable	732	496
review	733	495
f	734	495
modelling	735	495
genre	736	494
broadcast	737	494
factorized	738	494
decision	739	494
trees	740	494
zhao	741	493
fusion	742	492
level	743	492
descriptor	744	492
mismatched	745	492
parsers	746	492
engineering	747	492
activity	748	492
彬	749	491
parallel	750	491
far	751	491
dield	752	491
升	753	490
exploting	754	490
structure	755	490
conversion	756	489
binary	757	489
曹	758	488
hyper	759	488
parameter	760	488
optimisation	761	488
gaussian	762	488
process	763	488
reinforcement	764	488
combination	765	488
borrowing	766	488
strategies	767	488
context	768	488
clustering	769	488
comparative	770	487
study	771	487
robustness	772	487
approaches	773	487
derided	774	487
bottleneck	775	487
companion	776	486
teaching	777	486
宁	778	485
asvspoof	779	485
discrete	780	483
奇	781	480
lattice	782	480
encoder	783	479
decoder	784	479
focus	785	479
mechanism	786	479
sequence	787	479
labelling	788	479
spoken	789	479
understanding	790	479
discriminatively	791	479
trained	792	479
environment	793	479
representations	794	479
directional	795	479
contrastive	796	479
estimation	797	479
beta	798	479
stabilizer	799	479
enhanced	800	479
郭	801	478
探	802	477
hao	803	474
what	804	473
does	805	473
embedding	806	473
encode	807	473
attentive	808	472
measures	809	472
'	810	470
grand	811	470
haptic	812	470
recognizing	813	470
talker	814	470
permutation	815	470
invariant	816	470
stochastic	817	468
sweeping	818	468
lattices	819	468
integrating	820	467
online	821	467
i	822	467
ubm	823	467
evaluating	824	465
svm	825	463
胡	826	462
历	827	462
directed	828	462
transcription	829	462
error	830	462
correction	831	462
bidirectional	832	462
范	833	461
evolvable	834	460
叶	835	458
unrestricted	836	458
vocabulary	837	458
keyword	838	458
spotting	839	458
mlp	840	456
two	841	456
stage	842	456
unsupervised	843	456
conversational	844	456
telephone	845	456
gleu	846	455
guided	847	455
multiresolution	848	455
short	849	455
conversation	850	455
河	851	451
novel	852	450
dynamic	853	450
parameters	854	450
calculation	855	450
compensation	856	450
唯	857	450
图	858	449
view	859	448
synchronized	860	448
local	861	447
trajectory	862	447
决	863	443
real	864	441
world	865	441
dialogues	866	441
湖	867	438
调	868	437
second	869	428
order	870	428
taylor	871	428
series	872	428
针	873	428
浙	874	427
云	875	424
尔	876	394
identity	877	375
身	878	374
门	879	367
后	880	351
bachelor	881	346
phd	882	345
undergraduate	883	344
龄	884	344
doctor	885	341
纪	886	340
assitant	887	333
电	888	331
故	889	327
professor	890	320
哈	891	316
副	892	315
master	893	313
boss	894	313
汉	895	308
许	896	306
石	897	302
庄	898	302
graduate	899	301
济	900	293
秘	901	291
hongtao	902	290
lin	903	290
同	904	289
威	905	288
厦	906	286
卓	907	286
松	908	286
泽	909	286
坐	910	285
外	911	285
职	912	284
岗	913	282
滨	914	280
hanzheng	915	277
幢	916	275
条	917	275
贵	918	275
yunqi	919	275
晏	920	274
黎	921	274
幸	922	274
peiyao	923	273
sheng	924	273
wengong	925	273
jin	926	273
飞	927	273
武	928	272
赖	929	272
jiefeng	930	272
ying	931	271
zhou	932	271
zhehuai	933	269
wangyou	934	269
郑	935	268
烨	936	268
斐	937	268
航	938	268
嘉	939	267
yefei	940	267
chenda	941	267
宇	942	266
毅	943	266
萌	944	266
弘	945	266
韬	946	266
锴	947	266
叫	948	266
yexin	949	265
lingting	950	265
ge	951	265
辰	952	265
砾	953	264
haobin	954	264
ni	955	264
健	956	264
鱼	957	264
媛	958	264
露	959	264
xingdong	960	264
wei	961	263
谭	962	263
hongji	963	263
ruisheng	964	263
yue	965	263
cheng	966	263
rao	967	262
ma	968	262
nanxin	969	262
zijian	970	262
yuchen	971	262
fan	972	262
xiang	973	262
翰	974	261
yiqiong	975	261
mao	976	261
wen	977	260
ding	978	260
gu	979	260
mengyue	980	260
runzhe	981	259
酱	982	258
dcp	983	258
shuying	984	258
shen	985	258
宋	986	258
沁	987	258
芸	988	258
mingkun	989	258
tian	990	257
tan	991	257
huifeng	992	257
di	993	257
闰	994	257
永	995	256
尹	996	256
茂	997	256
帆	998	256
yuan	999	256
茅	1000	256
懿	1001	256
琼	1002	256
贺	1003	256
yongbin	1004	256
you	1005	256
顾	1006	256
霄	1007	255
zihao	1008	255
